id,chainage
KO,987100
1,994316
1A,994325
2,997575
3,998060
4A,999000
4,999907
5,1003439
6,1005866
7,1006760
8,1007498
9,1007791
10,1009755
11,1012147
12,1013588
14,1015397
15,1015482
16,1015745
17,1017603
18,1019024
18A,1019624
19,1020076
19A,1019835
20,1021052
21,1021420
22,1022877
23,1023795
24,1024138
25,1024985
26,1025837
26A,1025246
27,1030162
27A,1030440
28,1032206
29,1032678
30,1033479
31,1034574
32,1034780
33,1035834
34,1036482
35,1036525
36,1036657
37,1037703
38,1037876
39,1038571
39A,1038579
40,1039368
41,1039812
42,1039906
43,1040206
44,1040344
44A,1040469
45,1040860
46,1041115
47A,1041500
47,1041935
48,1042496
49,1042590
50,1042864
51,1043376
52,1044015
53,1044096
54,1044460
55,1045023
56,1045350
57,1045675
58,1045838
59,1046038
60,1046089
61,1046531
62,1046863
63,1046880
64,1048056
64A,1048063
65,1048472
66,1048778
67,1048885
68,1050310
69,1051046
70,1052007
71,1052508
72,1053120
73,1054227
74,1054728
75,1054939
76,1055073
77,1057053
78,1057294
79,1057456
80,1057918
81,1058338
82,1058789
83,1059354
84,1060013
85,1062024
85A,1062597
86,1063992
87,1064753
88,1067147
89,1067521
90,1069020
91,1069330
92,1070218
93,1070617
93A,1070699
94,1071517
95,1072362
96,1073611
97,1075027
98,1075407
99,1075687
100,1075858
Hope,1042100
Herrling,1068280
Popkum,1075600